name,rating,types,vicinity,url
Rhythm! Discovery Center,4.7,"['museum', 'tourist_attraction', 'electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Claypool Court Building, 110 W Washington St A, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJE4gJjrtQa4gRod4K8MXEYnM
Association of Midwest Museums,0.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']","450 W Ohio St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJi-aW0U612IcRNDrUSS-rfWQ
Indiana War Memorial & Museum,4.7,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","55 E Michigan St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJqVPwhL9Qa4gRMAVCZi4dX6Q
Kurt Vonnegut Museum & Library,4.8,"['art_gallery', 'tourist_attraction', 'library', 'museum', 'store', 'point_of_interest', 'establishment']","543 Indiana Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJmyMLQbhQa4gRHboaKh8qcgA
Eugene and Marilyn Glick Indiana History Center,4.5,"['tourist_attraction', 'library', 'museum', 'point_of_interest', 'establishment']","450 W Ohio St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJN5LKQbdQa4gRcPs8b8Hk_wA
Masonic Library and Museum of Indiana,4.5,"['museum', 'point_of_interest', 'establishment']","525 N Illinois St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJXbNPuMBQa4gRqg6xh94Z-PA
Pathways to Peace Garden,4.7,"['park', 'point_of_interest', 'establishment']","360 Indiana Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJH9nSRLhQa4gRd8djjLW2H6I
Presidential Place Park,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","301 E Washington St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJJ1O_-JZQa4gRlazZZWLOLlM
Hudnut Commons,4.3,"['park', 'point_of_interest', 'establishment']","50 S Capitol Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ4afbAbtQa4gRp7WC5oQDPcA
University Park,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","307 N Meridian St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJt6nmhBtRa4gRyy6IWi6eKdI
Indy Parks & Rec Admin Office,2.3,"['tourist_attraction', 'local_government_office', 'point_of_interest', 'establishment']","200 E Washington St t2301, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJJxyCNLpQa4gRuwYjg6FTupA
Davlan Park,0.0,"['park', 'point_of_interest', 'establishment']","430 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJfU0dMnRRa4gR80tFh4OYfms
Pathways to Peace Garden,4.7,"['park', 'point_of_interest', 'establishment']","360 Indiana Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJH9nSRLhQa4gRd8djjLW2H6I
Presidential Place Park,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","301 E Washington St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJJ1O_-JZQa4gRlazZZWLOLlM
Hudnut Commons,4.3,"['park', 'point_of_interest', 'establishment']","50 S Capitol Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ4afbAbtQa4gRp7WC5oQDPcA
University Park,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","307 N Meridian St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJt6nmhBtRa4gRyy6IWi6eKdI
Indy Parks & Rec Admin Office,2.3,"['tourist_attraction', 'local_government_office', 'point_of_interest', 'establishment']","200 E Washington St t2301, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJJxyCNLpQa4gRuwYjg6FTupA
Davlan Park,0.0,"['park', 'point_of_interest', 'establishment']","430 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJfU0dMnRRa4gR80tFh4OYfms
Gift Shop One,3.9,"['point_of_interest', 'store', 'establishment']","Embassy suites, 110 W Washington St 3rd floor, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJrXJvlL1Qa4gR4L6qSHSj5dU
Lobby Shop,0.0,"['point_of_interest', 'store', 'establishment']","320 N Meridian St # 104, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJbbamGr9Qa4gRpmjwujJNVHo
Kristy's Gifts & More,0.0,"['jewelry_store', 'clothing_store', 'point_of_interest', 'store', 'establishment']",Indianapolis,https://www.google.com/maps/place/?q=place_id:ChIJNcbgSrlQa4gR2IQzmN6FsAo
Silver In the City,4.7,"['jewelry_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']","434 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJPa20z5RQa4gRBxopfp56RIk
Global Gifts,4.7,"['point_of_interest', 'store', 'establishment']","446 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJOTMAzJRQa4gRvxhnYTNtOm4
Rocket Fizz,4.6,"['food', 'point_of_interest', 'store', 'establishment']","55 Monument Cir #52, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJkT7-0r1Qa4gRi7zWXdLtOyU
Circle City Souvenirs,4.6,"['point_of_interest', 'store', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJd9BcfbxQa4gRIAOCdmFcb34
Artisans,5.0,"['art_gallery', 'jewelry_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']","429 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJIT3IAlhRa4gRlpZLg-62NwM
Auspicious Boutique,4.6,"['clothing_store', 'point_of_interest', 'store', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ5blyyGdRa4gRPPvhZvSIwKQ
Arcadia Florist,0.0,"['point_of_interest', 'store', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJf-Ydq6JRa4gRmJoqh-tGyJ8
Skymart One ext.,3.9,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",Indianapolis,https://www.google.com/maps/place/?q=place_id:ChIJF3VMh7tQa4gRPn7VJkTFLRk
Estepâ€™s Smoke Shop - Downtown,4.8,"['point_of_interest', 'store', 'establishment']","10 N Delaware St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJjW6lQjxRa4gR3q2c0nfg8X4
DGX,3.4,"['convenience_store', 'liquor_store', 'drugstore', 'health', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']","135 N Pennsylvania St Ste 101, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ2TdphwRRa4gRs3xprCqYDoc
CUPS Coffee at Market & Penn,4.8,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","107 N Pennsylvania St # 100, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJpw7g4b1Qa4gRSEjZa00j4UU
Commissary Barber & Barista,4.8,"['cafe', 'hair_care', 'health', 'food', 'point_of_interest', 'store', 'establishment']","304 E New York St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJWaLjj6JRa4gRY8Nad-pJseI
Sage Boutique,3.5,"['clothing_store', 'point_of_interest', 'store', 'establishment']","431 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ7R-QxpRQa4gROoaT_OWgFK8
CUPS Coffee at Capital Center,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","201 N Illinois St # 150, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJNzGVt75Qa4gRED9lWM8dydM
Cath Coffee and Tea House,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","222 E Market St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ32j7CJZQa4gRm_FzOdnT014
Georgia Street Grind,4.9,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","1001, 25 W Georgia St #101, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJmcH9s7xQa4gRQQNBFJZ1FKE
The Paddock Vape Shop,3.0,"['point_of_interest', 'store', 'establishment']","150 E Market St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ3TMn7_xRa4gRcrtS3_BA-iM
Freestyle,4.6,"['clothing_store', 'store', 'point_of_interest', 'establishment']","49 W Maryland St #146, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJL6JDQrxQa4gRLi_uj4NBG4M
Circle Centre Mall,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJWUxFfbxQa4gR4I8rrMLUYco
CUPS Coffee at One North Capitol,0.0,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']","1 N Capitol Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJu1rc4mxRa4gR0fP1_T_kqIk
Starbucks,4.3,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']","Tower Building, 55 Monument Cir, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ1-rO071Qa4gRTYDNIz22yZI
WFM Coffee Bar,0.0,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']","320 E Market St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJiRJVAA5Ra4gRutisArrgulI
NuVibe CBD Dispensary & Smoke Shop,5.0,"['store', 'point_of_interest', 'establishment']","333 E Ohio St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJSUva2cxRa4gRgybSiuit_es
"Go! Calendars, Toys & Games",4.0,"['clothing_store', 'jewelry_store', 'store', 'point_of_interest', 'establishment']","49 W Maryland St Space F5, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJi7eJh7xQa4gRnBS9x_RCei4
South Bend Chocolate Co,4.1,"['store', 'point_of_interest', 'food', 'establishment']","30 Monument Cir, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJVVVVVb5Qa4gRZxKRkhLnypE
INDYO FROZEN YOGURT,3.5,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJQ2tahbxQa4gRbjnsMa47trs
Forever 21,4.1,"['clothing_store', 'store', 'point_of_interest', 'establishment']","E11A, 49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJn-Mck7xQa4gRL8ANO9G76fg
chronic coffee,5.0,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']","42 Virginia Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJHbVekxBRa4gRpPT7MefiaIU
Starbucks,4.4,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']","The Davlan, 430 Massachusetts Ave, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJJW7u0JRQa4gRoZd0PEnSkwg
Bicycle Garage Indy,4.7,"['bicycle_store', 'store', 'point_of_interest', 'establishment']","242 E Market St #101, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJPxoF2ZVQa4gR3BRqiIygsZg
Java House (Downtown),4.6,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']","115 E New York St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJg1L7E95Ra4gRReVYM9k6uxI
Coat Check Coffee,4.7,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']","401 E Michigan St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJVRDBUutQa4gRH-yS4DSl5iM
Anchor,0.0,"['clothing_store', 'department_store', 'store', 'point_of_interest', 'establishment']","49 W Maryland St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJPZcJv7xQa4gRk3sKP2BxkTE
T.J. Maxx,4.1,"['department_store', 'clothing_store', 'jewelry_store', 'store', 'point_of_interest', 'establishment']","50 N Illinois St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJ5_QjCLxQa4gR3Mv5MUbcaZo
Rink's Womens Apparel Store,0.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']","35 N Illinois St, Indianapolis",https://www.google.com/maps/place/?q=place_id:ChIJq6rqDrxQa4gRsbgt-V76dWs
